word,lemma,part_of_speech,cefr,english,tense,person
avreste,avere,verb_form,A1,to have,conditional,voi
avrebbero,avere,verb_form,A1,to have,conditional,loro
fare,fare,verb_form,A1,to do / to make,infinitive,
faccio,fare,verb_form,A1,to do / to make,present,io
fai,fare,verb_form,A1,to do / to make,present,tu
fa,fare,verb_form,A1,to do / to make,present,lui/lei
facciamo,fare,verb_form,A1,to do / to make,present,noi
fate,fare,verb_form,A1,to do / to make,present,voi
fanno,fare,verb_form,A1,to do / to make,present,loro
facevo,fare,verb_form,A1,to do / to make,imperfect,io
facevi,fare,verb_form,A1,to do / to make,imperfect,tu
faceva,fare,verb_form,A1,to do / to make,imperfect,lui/lei
facevamo,fare,verb_form,A1,to do / to make,imperfect,noi
facevate,fare,verb_form,A1,to do / to make,imperfect,voi
facevano,fare,verb_form,A1,to do / to make,imperfect,loro
fatto,fare,verb_form,A1,to do / to make,past_participle,
fando,fare,verb_form,A1,to do / to make,gerund,
farò,fare,verb_form,A1,to do / to make,future,io
farai,fare,verb_form,A1,to do / to make,future,tu
farà,fare,verb_form,A1,to do / to make,future,lui/lei
faremo,fare,verb_form,A1,to do / to make,future,noi
farete,fare,verb_form,A1,to do / to make,future,voi
faranno,fare,verb_form,A1,to do / to make,future,loro
farei,fare,verb_form,A1,to do / to make,conditional,io
faresti,fare,verb_form,A1,to do / to make,conditional,tu
farebbe,fare,verb_form,A1,to do / to make,conditional,lui/lei
faremmo,fare,verb_form,A1,to do / to make,conditional,noi
fareste,fare,verb_form,A1,to do / to make,conditional,voi
farebbero,fare,verb_form,A1,to do / to make,conditional,loro
dire,dire,verb_form,A1,to say / to tell,infinitive,
dico,dire,verb_form,A1,to say / to tell,present,io
dici,dire,verb_form,A1,to say / to tell,present,tu
dice,dire,verb_form,A1,to say / to tell,present,lui/lei
diciamo,dire,verb_form,A1,to say / to tell,present,noi
dite,dire,verb_form,A1,to say / to tell,present,voi
dicono,dire,verb_form,A1,to say / to tell,present,loro
dicevo,dire,verb_form,A1,to say / to tell,imperfect,io
dicevi,dire,verb_form,A1,to say / to tell,imperfect,tu
diceva,dire,verb_form,A1,to say / to tell,imperfect,lui/lei
dicevamo,dire,verb_form,A1,to say / to tell,imperfect,noi
dicevate,dire,verb_form,A1,to say / to tell,imperfect,voi
dicevano,dire,verb_form,A1,to say / to tell,imperfect,loro
detto,dire,verb_form,A1,to say / to tell,past_participle,
dendo,dire,verb_form,A1,to say / to tell,gerund,
dirò,dire,verb_form,A1,to say / to tell,future,io
dirai,dire,verb_form,A1,to say / to tell,future,tu
dirà,dire,verb_form,A1,to say / to tell,future,lui/lei
diremo,dire,verb_form,A1,to say / to tell,future,noi
direte,dire,verb_form,A1,to say / to tell,future,voi
diranno,dire,verb_form,A1,to say / to tell,future,loro
direi,dire,verb_form,A1,to say / to tell,conditional,io
diresti,dire,verb_form,A1,to say / to tell,conditional,tu
direbbe,dire,verb_form,A1,to say / to tell,conditional,lui/lei
diremmo,dire,verb_form,A1,to say / to tell,conditional,noi
direste,dire,verb_form,A1,to say / to tell,conditional,voi
direbbero,dire,verb_form,A1,to say / to tell,conditional,loro
andare,andare,verb_form,A1,to go,infinitive,
vado,andare,verb_form,A1,to go,present,io
vai,andare,verb_form,A1,to go,present,tu
va,andare,verb_form,A1,to go,present,lui/lei
andiamo,andare,verb_form,A1,to go,present,noi
andate,andare,verb_form,A1,to go,present,voi
vanno,andare,verb_form,A1,to go,present,loro
andavo,andare,verb_form,A1,to go,imperfect,io
andavi,andare,verb_form,A1,to go,imperfect,tu
andava,andare,verb_form,A1,to go,imperfect,lui/lei
andavamo,andare,verb_form,A1,to go,imperfect,noi
andavate,andare,verb_form,A1,to go,imperfect,voi
andavano,andare,verb_form,A1,to go,imperfect,loro
andato,andare,verb_form,A1,to go,past_participle,
andando,andare,verb_form,A1,to go,gerund,
andrò,andare,verb_form,A1,to go,future,io
andrai,andare,verb_form,A1,to go,future,tu
andrà,andare,verb_form,A1,to go,future,lui/lei
andremo,andare,verb_form,A1,to go,future,noi
andrete,andare,verb_form,A1,to go,future,voi
andranno,andare,verb_form,A1,to go,future,loro
andrei,andare,verb_form,A1,to go,conditional,io
andresti,andare,verb_form,A1,to go,conditional,tu
andrebbe,andare,verb_form,A1,to go,conditional,lui/lei
andremmo,andare,verb_form,A1,to go,conditional,noi
andreste,andare,verb_form,A1,to go,conditional,voi
andrebbero,andare,verb_form,A1,to go,conditional,loro
venire,venire,verb_form,A1,to come,infinitive,
vengo,venire,verb_form,A1,to come,present,io
vieni,venire,verb_form,A1,to come,present,tu
viene,venire,verb_form,A1,to come,present,lui/lei
veniamo,venire,verb_form,A1,to come,present,noi
venite,venire,verb_form,A1,to come,present,voi
vengono,venire,verb_form,A1,to come,present,loro
venivo,venire,verb_form,A1,to come,imperfect,io
venivi,venire,verb_form,A1,to come,imperfect,tu
veniva,venire,verb_form,A1,to come,imperfect,lui/lei
venivamo,venire,verb_form,A1,to come,imperfect,noi
venivate,venire,verb_form,A1,to come,imperfect,voi
venivano,venire,verb_form,A1,to come,imperfect,loro
venuto,venire,verb_form,A1,to come,past_participle,
venendo,venire,verb_form,A1,to come,gerund,
verrò,venire,verb_form,A1,to come,future,io
verrai,venire,verb_form,A1,to come,future,tu
verrà,venire,verb_form,A1,to come,future,lui/lei
verremo,venire,verb_form,A1,to come,future,noi
verrete,venire,verb_form,A1,to come,future,voi
verranno,venire,verb_form,A1,to come,future,loro
verrei,venire,verb_form,A1,to come,conditional,io
verresti,venire,verb_form,A1,to come,conditional,tu
verrebbe,venire,verb_form,A1,to come,conditional,lui/lei
verremmo,venire,verb_form,A1,to come,conditional,noi
verreste,venire,verb_form,A1,to come,conditional,voi
verrebbero,venire,verb_form,A1,to come,conditional,loro
stare,stare,verb_form,A1,to stay / to be (state),infinitive,
sto,stare,verb_form,A1,to stay / to be (state),present,io
stai,stare,verb_form,A1,to stay / to be (state),present,tu
sta,stare,verb_form,A1,to stay / to be (state),present,lui/lei
stiamo,stare,verb_form,A1,to stay / to be (state),present,noi
state,stare,verb_form,A1,to stay / to be (state),present,voi
stanno,stare,verb_form,A1,to stay / to be (state),present,loro
stavo,stare,verb_form,A1,to stay / to be (state),imperfect,io
stavi,stare,verb_form,A1,to stay / to be (state),imperfect,tu
stava,stare,verb_form,A1,to stay / to be (state),imperfect,lui/lei
stavamo,stare,verb_form,A1,to stay / to be (state),imperfect,noi
stavate,stare,verb_form,A1,to stay / to be (state),imperfect,voi
stavano,stare,verb_form,A1,to stay / to be (state),imperfect,loro
stato,stare,verb_form,A1,to stay / to be (state),past_participle,
stando,stare,verb_form,A1,to stay / to be (state),gerund,
starò,stare,verb_form,A1,to stay / to be (state),future,io
starai,stare,verb_form,A1,to stay / to be (state),future,tu
starà,stare,verb_form,A1,to stay / to be (state),future,lui/lei
staremo,stare,verb_form,A1,to stay / to be (state),future,noi
starete,stare,verb_form,A1,to stay / to be (state),future,voi
staranno,stare,verb_form,A1,to stay / to be (state),future,loro
starei,stare,verb_form,A1,to stay / to be (state),conditional,io
staresti,stare,verb_form,A1,to stay / to be (state),conditional,tu
starebbe,stare,verb_form,A1,to stay / to be (state),conditional,lui/lei
staremmo,stare,verb_form,A1,to stay / to be (state),conditional,noi
stareste,stare,verb_form,A1,to stay / to be (state),conditional,voi
starebbero,stare,verb_form,A1,to stay / to be (state),conditional,loro
potere,potere,verb_form,A1,can / to be able to,infinitive,
posso,potere,verb_form,A1,can / to be able to,present,io
puoi,potere,verb_form,A1,can / to be able to,present,tu
può,potere,verb_form,A1,can / to be able to,present,lui/lei
possiamo,potere,verb_form,A1,can / to be able to,present,noi
potete,potere,verb_form,A1,can / to be able to,present,voi
possono,potere,verb_form,A1,can / to be able to,present,loro
potevo,potere,verb_form,A1,can / to be able to,imperfect,io
potevi,potere,verb_form,A1,can / to be able to,imperfect,tu
poteva,potere,verb_form,A1,can / to be able to,imperfect,lui/lei
potevamo,potere,verb_form,A1,can / to be able to,imperfect,noi
potevate,potere,verb_form,A1,can / to be able to,imperfect,voi
potevano,potere,verb_form,A1,can / to be able to,imperfect,loro
potuto,potere,verb_form,A1,can / to be able to,past_participle,
potendo,potere,verb_form,A1,can / to be able to,gerund,
potrò,potere,verb_form,A1,can / to be able to,future,io
potrai,potere,verb_form,A1,can / to be able to,future,tu
potrà,potere,verb_form,A1,can / to be able to,future,lui/lei
potremo,potere,verb_form,A1,can / to be able to,future,noi
potrete,potere,verb_form,A1,can / to be able to,future,voi
potranno,potere,verb_form,A1,can / to be able to,future,loro
potrei,potere,verb_form,A1,can / to be able to,conditional,io
potresti,potere,verb_form,A1,can / to be able to,conditional,tu
potrebbe,potere,verb_form,A1,can / to be able to,conditional,lui/lei
potremmo,potere,verb_form,A1,can / to be able to,conditional,noi
potreste,potere,verb_form,A1,can / to be able to,conditional,voi
potrebbero,potere,verb_form,A1,can / to be able to,conditional,loro
volere,volere,verb_form,A1,to want,infinitive,
voglio,volere,verb_form,A1,to want,present,io
vuoi,volere,verb_form,A1,to want,present,tu
vuole,volere,verb_form,A1,to want,present,lui/lei
vogliamo,volere,verb_form,A1,to want,present,noi
volete,volere,verb_form,A1,to want,present,voi
vogliono,volere,verb_form,A1,to want,present,loro
volevo,volere,verb_form,A1,to want,imperfect,io
volevi,volere,verb_form,A1,to want,imperfect,tu
voleva,volere,verb_form,A1,to want,imperfect,lui/lei
volevamo,volere,verb_form,A1,to want,imperfect,noi
volevate,volere,verb_form,A1,to want,imperfect,voi
volevano,volere,verb_form,A1,to want,imperfect,loro
voluto,volere,verb_form,A1,to want,past_participle,
volendo,volere,verb_form,A1,to want,gerund,
vorrò,volere,verb_form,A1,to want,future,io
vorrai,volere,verb_form,A1,to want,future,tu
vorrà,volere,verb_form,A1,to want,future,lui/lei
vorremo,volere,verb_form,A1,to want,future,noi
vorrete,volere,verb_form,A1,to want,future,voi
vorranno,volere,verb_form,A1,to want,future,loro
vorrei,volere,verb_form,A1,to want,conditional,io
vorresti,volere,verb_form,A1,to want,conditional,tu
vorrebbe,volere,verb_form,A1,to want,conditional,lui/lei
vorremmo,volere,verb_form,A1,to want,conditional,noi
vorreste,volere,verb_form,A1,to want,conditional,voi
vorrebbero,volere,verb_form,A1,to want,conditional,loro
dovere,dovere,verb_form,A1,must / to have to,infinitive,
devo,dovere,verb_form,A1,must / to have to,present,io
devi,dovere,verb_form,A1,must / to have to,present,tu
deve,dovere,verb_form,A1,must / to have to,present,lui/lei
dobbiamo,dovere,verb_form,A1,must / to have to,present,noi
dovete,dovere,verb_form,A1,must / to have to,present,voi
devono,dovere,verb_form,A1,must / to have to,present,loro
dovevo,dovere,verb_form,A1,must / to have to,imperfect,io
dovevi,dovere,verb_form,A1,must / to have to,imperfect,tu
doveva,dovere,verb_form,A1,must / to have to,imperfect,lui/lei
dovevamo,dovere,verb_form,A1,must / to have to,imperfect,noi
dovevate,dovere,verb_form,A1,must / to have to,imperfect,voi
dovevano,dovere,verb_form,A1,must / to have to,imperfect,loro
dovuto,dovere,verb_form,A1,must / to have to,past_participle,
dovendo,dovere,verb_form,A1,must / to have to,gerund,
dovrò,dovere,verb_form,A1,must / to have to,future,io
dovrai,dovere,verb_form,A1,must / to have to,future,tu
dovrà,dovere,verb_form,A1,must / to have to,future,lui/lei
dovremo,dovere,verb_form,A1,must / to have to,future,noi
dovrete,dovere,verb_form,A1,must / to have to,future,voi
dovranno,dovere,verb_form,A1,must / to have to,future,loro
dovrei,dovere,verb_form,A1,must / to have to,conditional,io
dovresti,dovere,verb_form,A1,must / to have to,conditional,tu
dovrebbe,dovere,verb_form,A1,must / to have to,conditional,lui/lei
dovremmo,dovere,verb_form,A1,must / to have to,conditional,noi
dovreste,dovere,verb_form,A1,must / to have to,conditional,voi
dovrebbero,dovere,verb_form,A1,must / to have to,conditional,loro
sapere,sapere,verb_form,A1,to know (a fact),infinitive,
so,sapere,verb_form,A1,to know (a fact),present,io
sai,sapere,verb_form,A1,to know (a fact),present,tu
sa,sapere,verb_form,A1,to know (a fact),present,lui/lei
sappiamo,sapere,verb_form,A1,to know (a fact),present,noi
sapete,sapere,verb_form,A1,to know (a fact),present,voi
sanno,sapere,verb_form,A1,to know (a fact),present,loro
sapevo,sapere,verb_form,A1,to know (a fact),imperfect,io
sapevi,sapere,verb_form,A1,to know (a fact),imperfect,tu
sapeva,sapere,verb_form,A1,to know (a fact),imperfect,lui/lei
sapevamo,sapere,verb_form,A1,to know (a fact),imperfect,noi
sapevate,sapere,verb_form,A1,to know (a fact),imperfect,voi
sapevano,sapere,verb_form,A1,to know (a fact),imperfect,loro
saputo,sapere,verb_form,A1,to know (a fact),past_participle,
sapendo,sapere,verb_form,A1,to know (a fact),gerund,
saprò,sapere,verb_form,A1,to know (a fact),future,io
saprai,sapere,verb_form,A1,to know (a fact),future,tu
saprà,sapere,verb_form,A1,to know (a fact),future,lui/lei
sapremo,sapere,verb_form,A1,to know (a fact),future,noi
saprete,sapere,verb_form,A1,to know (a fact),future,voi
sapranno,sapere,verb_form,A1,to know (a fact),future,loro
saprei,sapere,verb_form,A1,to know (a fact),conditional,io
sapresti,sapere,verb_form,A1,to know (a fact),conditional,tu
saprebbe,sapere,verb_form,A1,to know (a fact),conditional,lui/lei
sapremmo,sapere,verb_form,A1,to know (a fact),conditional,noi
sapreste,sapere,verb_form,A1,to know (a fact),conditional,voi
saprebbero,sapere,verb_form,A1,to know (a fact),conditional,loro
conoscere,conoscere,verb_form,A1,to know (a person/place),infinitive,
conosco,conoscere,verb_form,A1,to know (a person/place),present,io
conosci,conoscere,verb_form,A1,to know (a person/place),present,tu
conosce,conoscere,verb_form,A1,to know (a person/place),present,lui/lei
conosciamo,conoscere,verb_form,A1,to know (a person/place),present,noi
conoscete,conoscere,verb_form,A1,to know (a person/place),present,voi
conoscono,conoscere,verb_form,A1,to know (a person/place),present,loro
conoscevo,conoscere,verb_form,A1,to know (a person/place),imperfect,io
conoscevi,conoscere,verb_form,A1,to know (a person/place),imperfect,tu
conosceva,conoscere,verb_form,A1,to know (a person/place),imperfect,lui/lei
conoscevamo,conoscere,verb_form,A1,to know (a person/place),imperfect,noi
conoscevate,conoscere,verb_form,A1,to know (a person/place),imperfect,voi
conoscevano,conoscere,verb_form,A1,to know (a person/place),imperfect,loro
conoscuto,conoscere,verb_form,A1,to know (a person/place),past_participle,
conoscendo,conoscere,verb_form,A1,to know (a person/place),gerund,
conoscerò,conoscere,verb_form,A1,to know (a person/place),future,io
conoscerai,conoscere,verb_form,A1,to know (a person/place),future,tu
conoscerà,conoscere,verb_form,A1,to know (a person/place),future,lui/lei
conosceremo,conoscere,verb_form,A1,to know (a person/place),future,noi
conoscerete,conoscere,verb_form,A1,to know (a person/place),future,voi
conosceranno,conoscere,verb_form,A1,to know (a person/place),future,loro
conoscerei,conoscere,verb_form,A1,to know (a person/place),conditional,io
conosceresti,conoscere,verb_form,A1,to know (a person/place),conditional,tu
conoscerebbe,conoscere,verb_form,A1,to know (a person/place),conditional,lui/lei
conosceremmo,conoscere,verb_form,A1,to know (a person/place),conditional,noi
conoscereste,conoscere,verb_form,A1,to know (a person/place),conditional,voi
conoscerebbero,conoscere,verb_form,A1,to know (a person/place),conditional,loro
parlare,parlare,verb_form,A1,to speak,infinitive,
parlo,parlare,verb_form,A1,to speak,present,io
parli,parlare,verb_form,A1,to speak,present,tu
parla,parlare,verb_form,A1,to speak,present,lui/lei
parliamo,parlare,verb_form,A1,to speak,present,noi
parlate,parlare,verb_form,A1,to speak,present,voi
parlano,parlare,verb_form,A1,to speak,present,loro
parlavo,parlare,verb_form,A1,to speak,imperfect,io
parlavi,parlare,verb_form,A1,to speak,imperfect,tu
parlava,parlare,verb_form,A1,to speak,imperfect,lui/lei
parlavamo,parlare,verb_form,A1,to speak,imperfect,noi
parlavate,parlare,verb_form,A1,to speak,imperfect,voi
parlavano,parlare,verb_form,A1,to speak,imperfect,loro
parlato,parlare,verb_form,A1,to speak,past_participle,
parlando,parlare,verb_form,A1,to speak,gerund,
parlerò,parlare,verb_form,A1,to speak,future,io
parlerai,parlare,verb_form,A1,to speak,future,tu
parlerà,parlare,verb_form,A1,to speak,future,lui/lei
parleremo,parlare,verb_form,A1,to speak,future,noi
parlerete,parlare,verb_form,A1,to speak,future,voi
parleranno,parlare,verb_form,A1,to speak,future,loro
parlerei,parlare,verb_form,A1,to speak,conditional,io
parleresti,parlare,verb_form,A1,to speak,conditional,tu
parlerebbe,parlare,verb_form,A1,to speak,conditional,lui/lei
parleremmo,parlare,verb_form,A1,to speak,conditional,noi
parlereste,parlare,verb_form,A1,to speak,conditional,voi
parlerebbero,parlare,verb_form,A1,to speak,conditional,loro
capire,capire,verb_form,A1,to understand,infinitive,
capo,capire,verb_form,A1,to understand,present,io
capi,capire,verb_form,A1,to understand,present,tu
cape,capire,verb_form,A1,to understand,present,lui/lei
capiamo,capire,verb_form,A1,to understand,present,noi
capite,capire,verb_form,A1,to understand,present,voi
capono,capire,verb_form,A1,to understand,present,loro
capivo,capire,verb_form,A1,to understand,imperfect,io
capivi,capire,verb_form,A1,to understand,imperfect,tu
capiva,capire,verb_form,A1,to understand,imperfect,lui/lei
capivamo,capire,verb_form,A1,to understand,imperfect,noi
capivate,capire,verb_form,A1,to understand,imperfect,voi
capivano,capire,verb_form,A1,to understand,imperfect,loro
capito,capire,verb_form,A1,to understand,past_participle,
capendo,capire,verb_form,A1,to understand,gerund,
capirò,capire,verb_form,A1,to understand,future,io
capirai,capire,verb_form,A1,to understand,future,tu
capirà,capire,verb_form,A1,to understand,future,lui/lei
capiremo,capire,verb_form,A1,to understand,future,noi
capirete,capire,verb_form,A1,to understand,future,voi
capiranno,capire,verb_form,A1,to understand,future,loro
capirei,capire,verb_form,A1,to understand,conditional,io
capiresti,capire,verb_form,A1,to understand,conditional,tu
capirebbe,capire,verb_form,A1,to understand,conditional,lui/lei
capiremmo,capire,verb_form,A1,to understand,conditional,noi
capireste,capire,verb_form,A1,to understand,conditional,voi
capirebbero,capire,verb_form,A1,to understand,conditional,loro
sentire,sentire,verb_form,A1,to hear / to feel,infinitive,
sento,sentire,verb_form,A1,to hear / to feel,present,io
senti,sentire,verb_form,A1,to hear / to feel,present,tu
sente,sentire,verb_form,A1,to hear / to feel,present,lui/lei
sentiamo,sentire,verb_form,A1,to hear / to feel,present,noi
sentite,sentire,verb_form,A1,to hear / to feel,present,voi
sentono,sentire,verb_form,A1,to hear / to feel,present,loro
sentivo,sentire,verb_form,A1,to hear / to feel,imperfect,io
sentivi,sentire,verb_form,A1,to hear / to feel,imperfect,tu
sentiva,sentire,verb_form,A1,to hear / to feel,imperfect,lui/lei
sentivamo,sentire,verb_form,A1,to hear / to feel,imperfect,noi
sentivate,sentire,verb_form,A1,to hear / to feel,imperfect,voi
sentivano,sentire,verb_form,A1,to hear / to feel,imperfect,loro
sentito,sentire,verb_form,A1,to hear / to feel,past_participle,
sentendo,sentire,verb_form,A1,to hear / to feel,gerund,
sentirò,sentire,verb_form,A1,to hear / to feel,future,io
sentirai,sentire,verb_form,A1,to hear / to feel,future,tu
sentirà,sentire,verb_form,A1,to hear / to feel,future,lui/lei
sentiremo,sentire,verb_form,A1,to hear / to feel,future,noi
sentirete,sentire,verb_form,A1,to hear / to feel,future,voi
sentiranno,sentire,verb_form,A1,to hear / to feel,future,loro
sentirei,sentire,verb_form,A1,to hear / to feel,conditional,io
sentiresti,sentire,verb_form,A1,to hear / to feel,conditional,tu
sentirebbe,sentire,verb_form,A1,to hear / to feel,conditional,lui/lei
sentiremmo,sentire,verb_form,A1,to hear / to feel,conditional,noi
sentireste,sentire,verb_form,A1,to hear / to feel,conditional,voi
sentirebbero,sentire,verb_form,A1,to hear / to feel,conditional,loro
vedere,vedere,verb_form,A1,to see,infinitive,
vedo,vedere,verb_form,A1,to see,present,io
vedi,vedere,verb_form,A1,to see,present,tu
vede,vedere,verb_form,A1,to see,present,lui/lei
vediamo,vedere,verb_form,A1,to see,present,noi
vedete,vedere,verb_form,A1,to see,present,voi
vedono,vedere,verb_form,A1,to see,present,loro
vedevo,vedere,verb_form,A1,to see,imperfect,io
vedevi,vedere,verb_form,A1,to see,imperfect,tu
vedeva,vedere,verb_form,A1,to see,imperfect,lui/lei
vedevamo,vedere,verb_form,A1,to see,imperfect,noi
vedevate,vedere,verb_form,A1,to see,imperfect,voi
vedevano,vedere,verb_form,A1,to see,imperfect,loro
visto,vedere,verb_form,A1,to see,past_participle,
vedendo,vedere,verb_form,A1,to see,gerund,
vedrò,vedere,verb_form,A1,to see,future,io
vedrai,vedere,verb_form,A1,to see,future,tu
vedrà,vedere,verb_form,A1,to see,future,lui/lei
vedremo,vedere,verb_form,A1,to see,future,noi
vedrete,vedere,verb_form,A1,to see,future,voi
vedranno,vedere,verb_form,A1,to see,future,loro
vedrei,vedere,verb_form,A1,to see,conditional,io
vedresti,vedere,verb_form,A1,to see,conditional,tu
vedrebbe,vedere,verb_form,A1,to see,conditional,lui/lei
vedremmo,vedere,verb_form,A1,to see,conditional,noi
vedreste,vedere,verb_form,A1,to see,conditional,voi
vedrebbero,vedere,verb_form,A1,to see,conditional,loro
guardare,guardare,verb_form,A1,to watch / to look,infinitive,
guardo,guardare,verb_form,A1,to watch / to look,present,io
guardi,guardare,verb_form,A1,to watch / to look,present,tu
guarda,guardare,verb_form,A1,to watch / to look,present,lui/lei
guardiamo,guardare,verb_form,A1,to watch / to look,present,noi
guardate,guardare,verb_form,A1,to watch / to look,present,voi
guardano,guardare,verb_form,A1,to watch / to look,present,loro
guardavo,guardare,verb_form,A1,to watch / to look,imperfect,io
guardavi,guardare,verb_form,A1,to watch / to look,imperfect,tu
guardava,guardare,verb_form,A1,to watch / to look,imperfect,lui/lei
guardavamo,guardare,verb_form,A1,to watch / to look,imperfect,noi
guardavate,guardare,verb_form,A1,to watch / to look,imperfect,voi
guardavano,guardare,verb_form,A1,to watch / to look,imperfect,loro
guardato,guardare,verb_form,A1,to watch / to look,past_participle,
guardando,guardare,verb_form,A1,to watch / to look,gerund,
guarderò,guardare,verb_form,A1,to watch / to look,future,io
guarderai,guardare,verb_form,A1,to watch / to look,future,tu
guarderà,guardare,verb_form,A1,to watch / to look,future,lui/lei
guarderemo,guardare,verb_form,A1,to watch / to look,future,noi
guarderete,guardare,verb_form,A1,to watch / to look,future,voi
guarderanno,guardare,verb_form,A1,to watch / to look,future,loro
guarderei,guardare,verb_form,A1,to watch / to look,conditional,io
guarderesti,guardare,verb_form,A1,to watch / to look,conditional,tu
guarderebbe,guardare,verb_form,A1,to watch / to look,conditional,lui/lei
guarderemmo,guardare,verb_form,A1,to watch / to look,conditional,noi
guardereste,guardare,verb_form,A1,to watch / to look,conditional,voi
guarderebbero,guardare,verb_form,A1,to watch / to look,conditional,loro
mangiare,mangiare,verb_form,A1,to eat,infinitive,
mangio,mangiare,verb_form,A1,to eat,present,io
mangii,mangiare,verb_form,A1,to eat,present,tu
mangia,mangiare,verb_form,A1,to eat,present,lui/lei
mangiiamo,mangiare,verb_form,A1,to eat,present,noi
mangiate,mangiare,verb_form,A1,to eat,present,voi
mangiano,mangiare,verb_form,A1,to eat,present,loro
mangiavo,mangiare,verb_form,A1,to eat,imperfect,io
mangiavi,mangiare,verb_form,A1,to eat,imperfect,tu
mangiava,mangiare,verb_form,A1,to eat,imperfect,lui/lei
mangiavamo,mangiare,verb_form,A1,to eat,imperfect,noi
mangiavate,mangiare,verb_form,A1,to eat,imperfect,voi
mangiavano,mangiare,verb_form,A1,to eat,imperfect,loro
mangiato,mangiare,verb_form,A1,to eat,past_participle,
mangiando,mangiare,verb_form,A1,to eat,gerund,
mangierò,mangiare,verb_form,A1,to eat,future,io
mangierai,mangiare,verb_form,A1,to eat,future,tu
mangierà,mangiare,verb_form,A1,to eat,future,lui/lei
mangieremo,mangiare,verb_form,A1,to eat,future,noi
mangierete,mangiare,verb_form,A1,to eat,future,voi
mangieranno,mangiare,verb_form,A1,to eat,future,loro
mangierei,mangiare,verb_form,A1,to eat,conditional,io
mangieresti,mangiare,verb_form,A1,to eat,conditional,tu
mangierebbe,mangiare,verb_form,A1,to eat,conditional,lui/lei
mangieremmo,mangiare,verb_form,A1,to eat,conditional,noi
mangiereste,mangiare,verb_form,A1,to eat,conditional,voi
mangierebbero,mangiare,verb_form,A1,to eat,conditional,loro
bere,bere,verb_form,A1,to drink,infinitive,
bevo,bere,verb_form,A1,to drink,present,io
bevi,bere,verb_form,A1,to drink,present,tu
beve,bere,verb_form,A1,to drink,present,lui/lei
beviamo,bere,verb_form,A1,to drink,present,noi
bevete,bere,verb_form,A1,to drink,present,voi
bevono,bere,verb_form,A1,to drink,present,loro
bevevo,bere,verb_form,A1,to drink,imperfect,io
bevevi,bere,verb_form,A1,to drink,imperfect,tu
beveva,bere,verb_form,A1,to drink,imperfect,lui/lei
bevevamo,bere,verb_form,A1,to drink,imperfect,noi
bevevate,bere,verb_form,A1,to drink,imperfect,voi
bevevano,bere,verb_form,A1,to drink,imperfect,loro
bevuto,bere,verb_form,A1,to drink,past_participle,
bendo,bere,verb_form,A1,to drink,gerund,
berrò,bere,verb_form,A1,to drink,future,io
